id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority,Age
2.0,Male,1958-05-23,16,Clerical,40200.0,18750.0,98.0,36.0,No,68
3.0,Female,1929-07-26,12,Clerical,21450.0,12000.0,98.0,381.0,No,97
4.0,Female,1947-04-15,8,Clerical,21900.0,13200.0,98.0,190.0,No,79
5.0,Male,1955-02-09,15,Clerical,45000.0,21000.0,98.0,138.0,No,71
6.0,Male,1958-08-22,15,Clerical,32100.0,13500.0,98.0,67.0,No,68
7.0,Male,1956-04-26,15,Clerical,36000.0,18750.0,98.0,114.0,No,70
8.0,Female,1966-05-06,12,Clerical,21900.0,9750.0,98.0,missing,No,60
9.0,Female,1946-01-23,15,Clerical,27900.0,12750.0,98.0,115.0,No,80
10.0,Female,1946-02-13,12,Clerical,24000.0,13500.0,98.0,244.0,No,80
11.0,Female,1950-02-07,16,Clerical,30300.0,16500.0,98.0,143.0,No,76
12.0,Male,1966-01-11,8,Clerical,28350.0,12000.0,98.0,26.0,Yes,60
13.0,Male,1960-07-17,15,Clerical,27750.0,14250.0,98.0,34.0,Yes,66
14.0,Female,1949-02-26,15,Clerical,35100.0,16800.0,98.0,137.0,Yes,77
15.0,Male,1962-08-29,12,Clerical,27300.0,13500.0,97.0,66.0,No,64
16.0,Male,1964-11-17,12,Clerical,40800.0,15000.0,97.0,24.0,No,62
17.0,Male,1962-07-18,15,Clerical,46000.0,14250.0,97.0,48.0,No,64
19.0,Male,1962-08-19,12,Clerical,42300.0,14250.0,97.0,103.0,No,64
20.0,Female,1940-01-23,12,Clerical,26250.0,11550.0,97.0,48.0,No,86
21.0,Female,1963-02-19,16,Clerical,38850.0,15000.0,97.0,17.0,No,63
22.0,Male,1940-09-24,12,Clerical,21750.0,12750.0,97.0,315.0,Yes,86
23.0,Female,1965-03-15,15,Clerical,24000.0,11100.0,97.0,75.0,Yes,61
24.0,Female,1933-03-27,12,Clerical,16950.0,9000.0,97.0,124.0,Yes,93
25.0,Female,1942-07-01,15,Clerical,21150.0,9000.0,97.0,171.0,Yes,84
26.0,Male,1966-11-08,15,Clerical,31050.0,12600.0,96.0,14.0,No,60
28.0,Male,1963-04-11,15,Clerical,32550.0,14250.0,96.0,43.0,No,63
30.0,Male,1961-09-17,15,Clerical,31200.0,14250.0,96.0,54.0,No,65
31.0,Male,1964-02-24,12,Clerical,36150.0,14250.0,96.0,83.0,No,62
33.0,Male,1961-03-18,15,Clerical,42000.0,15000.0,96.0,68.0,No,65
36.0,Female,1963-08-07,8,Clerical,31350.0,11250.0,96.0,52.0,No,63
37.0,Male,1954-10-09,12,Clerical,29100.0,13500.0,96.0,113.0,Yes,72
38.0,Male,1962-04-27,15,Clerical,31350.0,15000.0,96.0,49.0,Yes,64
39.0,Male,1960-06-22,16,Clerical,36000.0,15000.0,96.0,46.0,Yes,66
40.0,Female,1933-08-28,15,Clerical,19200.0,9000.0,96.0,23.0,Yes,93
41.0,Female,1961-03-18,12,Clerical,23550.0,11550.0,96.0,52.0,Yes,65
42.0,Male,1960-09-23,15,Clerical,35100.0,16500.0,95.0,90.0,No,66
43.0,Male,1964-01-18,12,Clerical,23250.0,14250.0,95.0,46.0,No,62
44.0,Male,1963-06-15,8,Clerical,29250.0,14250.0,95.0,50.0,No,63
45.0,Male,1938-08-02,12,Custodial,30750.0,13500.0,95.0,307.0,No,88
46.0,Female,1940-11-18,15,Clerical,22350.0,12750.0,95.0,165.0,No,86
47.0,Female,1938-04-28,12,Clerical,30000.0,16500.0,95.0,228.0,No,88
48.0,Male,1947-06-07,12,Custodial,30750.0,14100.0,94.0,240.0,No,79
49.0,Male,1958-09-16,15,Clerical,34800.0,16500.0,94.0,93.0,No,68
51.0,Male,1962-07-08,12,Clerical,35550.0,15000.0,94.0,48.0,No,64
52.0,Male,1963-11-12,15,Clerical,45150.0,15000.0,94.0,40.0,No,63
54.0,Male,1931-06-04,12,Clerical,25050.0,13500.0,94.0,444.0,No,95
55.0,Male,1960-06-25,12,Clerical,27000.0,15000.0,94.0,120.0,No,66
56.0,Male,1962-04-16,15,Clerical,26850.0,13500.0,94.0,5.0,No,64
57.0,Male,1963-04-15,15,Clerical,33900.0,15750.0,94.0,78.0,No,63
58.0,Female,1964-11-14,15,Clerical,26400.0,13500.0,94.0,3.0,No,62
59.0,Male,1961-05-07,15,Clerical,28050.0,14250.0,94.0,36.0,Yes,65
60.0,Male,1959-02-16,12,Clerical,30900.0,15000.0,94.0,102.0,Yes,67
61.0,Male,1964-04-28,8,Clerical,22500.0,9750.0,94.0,36.0,Yes,62
64.0,Male,1963-09-28,16,Manager,53125.0,21000.0,93.0,48.0,No,63
65.0,Male,1964-03-28,8,Clerical,21900.0,14550.0,93.0,41.0,No,62
67.0,Male,1964-05-28,16,Manager,46000.0,21240.0,93.0,35.0,No,62
70.0,Male,1962-02-08,15,Clerical,41100.0,20250.0,93.0,27.0,No,64
72.0,Female,1964-01-07,16,Clerical,54000.0,18000.0,93.0,11.0,No,62
73.0,Female,1968-02-09,12,Clerical,26400.0,10500.0,93.0,missing,No,58
74.0,Female,1933-04-28,15,Clerical,33900.0,19500.0,93.0,192.0,No,93
75.0,Female,1965-08-12,15,Clerical,24150.0,11550.0,93.0,missing,No,61
76.0,Female,1967-09-03,15,Clerical,29250.0,11550.0,93.0,11.0,No,59
77.0,Female,1968-09-09,12,Clerical,27600.0,11400.0,93.0,6.0,No,58
78.0,Female,1968-08-20,12,Clerical,22950.0,10500.0,93.0,10.0,No,58
79.0,Female,1962-01-23,16,Clerical,34800.0,14550.0,93.0,8.0,No,64
80.0,Female,1961-05-25,16,Clerical,51000.0,18000.0,93.0,22.0,No,65
81.0,Female,1968-03-12,12,Clerical,24300.0,10950.0,93.0,5.0,No,58
82.0,Female,1947-08-28,12,Clerical,24750.0,14250.0,93.0,193.0,Yes,79
83.0,Female,1967-10-12,12,Clerical,22950.0,11250.0,93.0,missing,Yes,59
84.0,Female,1967-03-12,8,Clerical,25050.0,10950.0,93.0,8.0,Yes,59
85.0,Male,1962-04-09,15,Clerical,25950.0,17100.0,92.0,42.0,No,64
86.0,Male,1961-08-25,15,Clerical,31650.0,15750.0,92.0,64.0,No,65
87.0,Male,1959-10-20,12,Clerical,24150.0,14100.0,92.0,130.0,No,67
90.0,Female,1938-02-27,8,Clerical,16200.0,9750.0,92.0,missing,No,88
91.0,Female,1967-11-04,12,Clerical,20100.0,11250.0,92.0,24.0,No,59
92.0,Female,1968-06-25,8,Clerical,24000.0,10950.0,92.0,6.0,No,58
93.0,Female,1968-03-05,12,Clerical,25950.0,10950.0,92.0,missing,No,58
94.0,Female,1950-08-04,12,Clerical,24600.0,10050.0,92.0,44.0,No,76
95.0,Female,1968-08-08,12,Clerical,28500.0,10500.0,92.0,6.0,No,58
96.0,Male,1933-10-02,8,Custodial,30750.0,15000.0,92.0,432.0,Yes,93
97.0,Male,1953-01-18,17,Clerical,40200.0,19500.0,92.0,168.0,Yes,73
98.0,Male,1956-05-17,8,Custodial,30000.0,15000.0,92.0,144.0,Yes,70
99.0,Female,1968-07-07,12,Clerical,22050.0,10950.0,92.0,5.0,Yes,58
102.0,Male,1963-03-28,14,Clerical,39900.0,15750.0,91.0,59.0,No,63
104.0,Male,1962-11-05,15,Clerical,27450.0,15750.0,91.0,48.0,No,64
105.0,Male,1966-03-07,15,Clerical,31650.0,13500.0,91.0,18.0,No,60
107.0,Female,1960-08-16,12,Clerical,25200.0,14400.0,91.0,83.0,No,66
108.0,Female,1930-07-16,12,Clerical,21000.0,11550.0,91.0,108.0,No,96
109.0,Male,1963-11-10,12,Clerical,30450.0,15000.0,91.0,49.0,Yes,63
110.0,Male,1952-10-29,15,Clerical,28350.0,18000.0,91.0,151.0,Yes,74
111.0,Male,1940-11-27,12,Custodial,30750.0,9000.0,91.0,314.0,Yes,86
112.0,Male,1948-06-21,12,Custodial,30750.0,15000.0,91.0,240.0,Yes,78
114.0,Male,1961-08-25,14,Clerical,37800.0,16500.0,90.0,60.0,No,65
115.0,Male,1961-05-12,15,Clerical,33450.0,14100.0,90.0,85.0,No,65
116.0,Male,1962-06-09,15,Clerical,30300.0,16500.0,90.0,16.0,No,64
117.0,Female,1932-01-14,12,Clerical,31500.0,18750.0,90.0,205.0,No,94
118.0,Female,1964-03-04,12,Clerical,31650.0,14250.0,90.0,48.0,No,62
119.0,Female,1963-07-23,12,Clerical,25200.0,14100.0,90.0,55.0,No,63
120.0,Female,1964-11-12,16,Manager,37800.0,15750.0,90.0,7.0,No,62
121.0,Female,1936-08-06,15,Clerical,18750.0,10500.0,90.0,54.0,No,90
122.0,Female,1965-09-26,15,Clerical,32550.0,13500.0,90.0,22.0,No,61
